u,v,shape_id,direction_id,headsign,duration_avg,n_vehicles,d,route_I_counts
0,1,{'11072': 166},{'1': 166},{'STATION ANGRIGNON': 166},62.0,166,850,{1: 166}
1,2,{'11072': 166},{'1': 166},{'STATION ANGRIGNON': 166},79.0,166,803,{1: 166}
1,0,{'11071': 175},{'0': 175},{'STATION HONORÉ-BEAUGRAND': 175},117.0,175,850,{1: 175}
2,3,{'11072': 167},{'1': 167},{'STATION ANGRIGNON': 167},73.0,167,712,{1: 167}
2,1,{'11071': 175},{'0': 175},{'STATION HONORÉ-BEAUGRAND': 175},74.0,175,803,{1: 175}
3,4,{'11072': 167},{'1': 167},{'STATION ANGRIGNON': 167},85.0,167,842,{1: 167}
3,2,{'11071': 175},{'0': 175},{'STATION HONORÉ-BEAUGRAND': 175},73.0,175,712,{1: 175}
4,5,{'11072': 167},{'1': 167},{'STATION ANGRIGNON': 167},90.0,167,957,{1: 167}
4,3,{'11071': 174},{'0': 174},{'STATION HONORÉ-BEAUGRAND': 174},86.0,174,842,{1: 174}
5,6,{'11072': 167},{'1': 167},{'STATION ANGRIGNON': 167},79.0,167,845,{1: 167}
5,4,{'11071': 174},{'0': 174},{'STATION HONORÉ-BEAUGRAND': 174},93.0,174,957,{1: 174}
6,7,{'11072': 168},{'1': 168},{'STATION ANGRIGNON': 168},85.0,168,763,{1: 168}
6,5,{'11071': 174},{'0': 174},{'STATION HONORÉ-BEAUGRAND': 174},79.0,174,845,{1: 174}
7,8,{'11072': 168},{'1': 168},{'STATION ANGRIGNON': 168},64.0,168,609,{1: 168}
7,6,{'11071': 174},{'0': 174},{'STATION HONORÉ-BEAUGRAND': 174},85.0,174,763,{1: 174}
8,9,{'11072': 168},{'1': 168},{'STATION ANGRIGNON': 168},98.0,168,927,{1: 168}
8,7,{'11071': 173},{'0': 173},{'STATION HONORÉ-BEAUGRAND': 173},65.0,173,609,{1: 173}
9,10,{'11072': 168},{'1': 168},{'STATION ANGRIGNON': 168},108.0,168,1060,{1: 168}
9,8,{'11071': 173},{'0': 173},{'STATION HONORÉ-BEAUGRAND': 173},98.0,173,927,{1: 173}
10,11,{'11072': 169},{'1': 169},{'STATION ANGRIGNON': 169},70.0,169,623,{1: 169}
10,9,{'11071': 173},{'0': 173},{'STATION HONORÉ-BEAUGRAND': 173},106.0,173,1060,{1: 173}
