u,v,veh,avg_wait,edge_color
0,1,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,2,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,3,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,4,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,5,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,6,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,7,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,8,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,9,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,10,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,11,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,12,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,13,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,14,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,15,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,16,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,17,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,18,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,19,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,20,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,21,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,22,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,23,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,24,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,25,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
0,26,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,0,{1: {'0': 9.210526315789474}},3.257142857142857,#00B300
1,2,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,3,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,4,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,5,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,6,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,7,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,8,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,9,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,10,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,11,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,12,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,13,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,14,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,15,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,16,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,17,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,18,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,19,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,20,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,21,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,22,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,23,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,24,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,25,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
1,26,{1: {'1': 8.736842105263158}},3.433734939759036,#00B300
2,1,{1: {'0': 9.210526315789474}},3.257142857142857,#00B300
2,0,{1: {'0': 9.210526315789474}},3.257142857142857,#00B300
2,3,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,4,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,5,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,6,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,7,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,8,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,9,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,10,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,11,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,12,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,13,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,14,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,15,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,16,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,17,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,18,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,19,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,20,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,21,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,22,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,23,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,24,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,25,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
2,26,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
3,1,{1: {'0': 9.210526315789474}},3.257142857142857,#00B300
3,0,{1: {'0': 9.210526315789474}},3.257142857142857,#00B300
3,2,{1: {'0': 9.210526315789474}},3.257142857142857,#00B300
3,4,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
3,5,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
3,6,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
3,7,{1: {'1': 8.789473684210526}},3.413173652694611,#00B300
