node,lat,lon,name,original_ids
0,45.596572,-73.535376,Station Honoré-Beaugrand,[110]
1,45.589431,-73.539269,Station Radisson,[105]
2,45.582736,-73.543133,Station Langelier,[100]
3,45.576843,-73.54671,Station Cadillac,[96]
4,45.569285,-73.547336,Station Assomption,[93]
5,45.560687,-73.54753,Station Viau,[90]
6,45.553688,-73.551757,Station Pie-IX,[86]
7,45.546832,-73.551391,Station Joliette,[82]
8,45.541717,-73.554192,Station Préfontaine,[78]
9,45.533504,-73.552196,Station Frontenac,[75]
10,45.523988,-73.552703,Station Papineau,[72]
11,45.518831,-73.555837,Station Beaudry,[69]
12,45.515226,-73.561082,Station Berri-UQAM 1,"[60, 61, 62]"
13,45.511033,-73.564899,Station Saint-Laurent,[57]
14,45.50822,-73.568433,Station Place-des-Arts,[51]
15,45.504064,-73.571586,Station McGill,[43]
16,45.500879,-73.574715,Station Peel,[37]
17,45.49557,-73.57931,Station Guy-Concordia,[33]
18,45.490068,-73.585812,Station Atwater,[29]
19,45.482509,-73.58018,Station Lionel-Groulx,[26]
20,45.478465,-73.569336,Station Charlevoix,[23]
21,45.471063,-73.566267,Station LaSalle,[20]
22,45.461894,-73.567074,Station De l'Église,[16]
23,45.459441,-73.572021,Station Verdun,[12]
24,45.45701,-73.581691,Station Jolicoeur,[9]
25,45.451158,-73.593242,Station Monk,[5]
26,45.446466,-73.603118,Station Angrignon,[2]
27,45.514237,-73.682757,Station Côte-Vertu,[115]
28,45.509258,-73.674796,Station Du Collège,[120]
29,45.500051,-73.661538,Station De la Savane,[124]
30,45.494643,-73.652828,Station Namur,[127]
31,45.494644,-73.63826,Station Plamondon,[130]
32,45.492356,-73.6331,Station Côte-Sainte-Catherine,[134]
33,45.485433,-73.62773,Station Snowdon 2,"[137, 138]"
34,45.479709,-73.619821,Station Villa-Maria,[141]
35,45.474101,-73.603706,Station Vendôme,[144]
36,45.47732,-73.586629,Station Place-Saint-Henri,[150]
37,45.488897,-73.576852,Station Georges-Vanier,[155]
38,45.494745,-73.571074,Station Lucien-L'Allier,[158]
39,45.498086,-73.567235,Station Bonaventure,[161]
40,45.501937,-73.563118,Station Square-Victoria–OACI,[166]
41,45.506348,-73.559548,Station Place-d'Armes,[172]
42,45.510047,-73.556596,Station Champ-de-Mars,[176]
43,45.51906,-73.569217,Station Sherbrooke,[179]
44,45.524931,-73.581959,Station Mont-Royal,[183]
45,45.527399,-73.586907,Station Laurier,[186]
46,45.531733,-73.59778,Station Rosemont,[190]
47,45.535354,-73.604688,Station Beaubien,[193]
48,45.539056,-73.613902,Station Jean-Talon 2,"[196, 197]"
49,45.543191,-73.628765,Station Jarry,[203]
50,45.546082,-73.639052,Station Crémazie,[206]
51,45.550757,-73.656017,Station Sauvé,[211]
52,45.555277,-73.668172,Station Henri-Bourassa,[215]
53,45.559997,-73.68231,Station Cartier (zone B),[221]
54,45.560698,-73.709389,Station De la Concorde (zone B),[225]
55,45.558436,-73.722459,Station Montmorency (zone B),[228]
56,45.52489,-73.522098,Station Longueuil-Université de Sherbrooke (zone B,[234]
57,45.512429,-73.533127,Station Jean-Drapeau,[231]
58,45.55956,-73.600002,Station Saint-Michel,[271]
59,45.553618,-73.601988,Station D'Iberville,[267]
60,45.546753,-73.608106,Station Fabre,[263]
61,45.535437,-73.619873,Station De Castelnau,[259]
62,45.530177,-73.624559,Station Parc,[256]
63,45.523458,-73.623257,Station Acadie,[252]
64,45.50992,-73.612858,Station Édouard-Montpetit,[248]
65,45.503188,-73.617699,Station Université-de-Montréal,[243]
66,45.496846,-73.623386,Station Côte-des-Neiges,[239]
